id_news,id_cm,id_cd,id_author,id_btv
4726419,3,47,433,null
4723724,3,47,433,null
4728393,3,47,433,null
4728422,3,47,25,null
4728448,3,47,273,null
4728374,3,47,28,null
4724095,3,47,433,null
4726828,3,47,28,null
4727941,3,47,28,null
4727494,3,47,433,null
4727549,3,47,26,null
4727332,3,47,433,null
4726344,3,47,273,null
4720259,3,47,433,null
4726569,3,47,28,null
4726593,3,47,25,null
4726478,3,47,273,null
4726149,3,47,25,null
4721884,3,47,265,null
4725892,3,47,396,null
4725757,3,47,52,null
4725221,3,47,433,null
4725285,3,47,25,null
4724527,3,47,433,null
4723421,3,47,25,null
4724290,3,47,28,null
4723882,3,47,26,null
4723448,3,47,25,null
4722036,3,47,28,null
4722522,3,47,25,null
4722479,3,47,28,null
4721855,3,47,25,null
4722723,3,47,25,null
4722507,3,47,433,null
4731568,3,25,28,null
4731128,3,25,433,null
4730742,3,25,433,null
4729837,3,25,433,null
4730291,3,25,25,null
4730285,3,25,433,null
4729616,3,25,25,null
4729817,3,25,25,null
4729807,3,25,28,null
4729349,3,25,433,null
4729323,3,25,28,null
4727963,3,25,25,null
4728877,3,25,433,null
4727949,3,25,433,null
4727590,3,25,25,null
4727053,3,25,433,null
4727278,3,25,25,null
4727040,3,25,25,null
4726571,3,25,433,null
4727057,3,25,396,null
4726576,3,25,433,null
4726139,3,25,433,null
4726134,3,25,28,null
4725208,3,25,28,null
4725685,3,25,25,null
4725660,3,25,28,null
4725684,3,25,52,null
4725052,3,25,25,null
4724984,3,25,28,null
4724744,3,25,433,null
4724301,3,25,433,null
4723906,3,25,25,null
4723859,3,25,28,null
4723437,3,25,433,null
4723679,3,25,28,null
4723445,3,25,28,null
4722770,3,25,433,null
4720725,3,25,28,null
4722557,3,25,28,null
4721651,3,25,28,null
4722258,3,25,28,null
4722044,3,25,433,null
4721194,3,25,25,null
4721175,3,25,28,null
4720748,3,25,433,null
4720759,3,25,25,null
4718625,3,25,28,null
4720280,3,25,25,null
4719859,3,25,25,null
4719365,3,25,25,null
4719353,3,25,433,null
4719168,3,25,28,null
4718904,3,25,25,null
4718425,3,25,25,null
4717970,3,25,433,null
4717469,3,25,433,null
4716108,3,25,28,null
4716546,3,25,433,null
4716929,3,25,28,null
4715884,3,25,433,null
4730101,3,54,265,null
4730165,3,54,64,null
4728489,3,54,26,null
4726218,3,54,26,null
4725920,3,54,26,null
4722544,3,54,26,null
4722355,3,54,396,null
4722401,3,54,326,null
4722320,3,54,25,null
4720625,1,26,220,null
4719614,3,54,25,null
4717403,3,54,64,null
4717056,3,54,25,null
4661184,3,54,26,null
4714474,3,54,244,null
4713965,3,54,26,null
4712063,3,54,45,null
